Date,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.746231563593415,24.757340164944214,23.848711151343018,24.288585662841797,212818400
2015-01-05,24.05753340346533,24.137510563273064,23.41771781993756,23.60433006286621,257142000
2015-01-06,23.668761942130114,23.866482831009513,23.244438480532743,23.606557846069336,263188400
2015-01-07,23.815386553981295,24.03754501696595,23.704307322488965,23.93757438659668,160423600
2015-01-08,24.26636314774089,24.915065278846953,24.148617770201092,24.857303619384766,237458000
2015-01-09,25.030590129694804,25.159442427054685,24.484080590300568,24.88396644592285,214798000
2015-01-12,25.015035664771943,25.021700145626117,24.170834756205902,24.27080535888672,198603200
2015-01-13,24.75511097972112,25.05946860281435,24.195272548447814,24.486299514770508,268367600
2015-01-14,24.224154956136505,24.5462839956195,24.104189202795,24.392995834350586,195826400
2015-01-15,24.437430536762403,24.45075950194886,23.695422095851104,23.730966567993164,240056000
2015-01-16,23.777612852096432,23.899800647867,23.371062580642416,23.546567916870117,314053200
2015-01-20,23.957564225054288,24.208604335161315,23.659872743076072,24.153064727783203,199599600
2015-01-21,24.204161237587133,24.672915679210643,24.05309343135395,24.33745765686035,194303600
2015-01-22,24.49519072615685,24.98616068833683,24.375224961946195,24.970609664916992,215185600
2015-01-23,24.948389007255805,25.27051800940202,24.777326090029074,25.099456787109375,185859200
2015-01-26,25.26829320928486,25.406032012568126,25.05946548841953,25.12611198425293,222460000
2015-01-27,24.975051641429268,24.9883823005039,24.221934658687033,24.24637222290039,382274800
2015-01-28,26.132493867924392,26.241352712133768,25.61708641052246,25.61708641052246,585908400
2015-01-29,25.841461880742283,26.479057021457585,25.67262104267309,26.414630889892578,337745600
2015-01-30,26.30355786641712,26.659011007530673,25.959211629596137,26.0280818939209,334982000
2015-02-02,26.225801811044594,26.47461815338572,25.788149458261305,26.354652404785156,250956400
2015-02-03,26.32576861567419,26.456841249221903,26.128047788670173,26.359092712402344,207662800
2015-02-04,26.325770949503564,26.772309817405812,26.283560310243587,26.56125831604004,280598800
2015-02-05,26.768684571272377,26.81552346177892,26.596948212034828,26.750843048095703,168984800
2015-02-06,26.768687031674467,26.81998588228434,26.4185217954967,26.52557945251465,174826400
2015-02-09,26.44082193108112,26.728535823049864,26.414057096227165,26.701772689819336,155559200
2015-02-10,26.802135571878527,27.24374595062465,26.79990644538046,27.214750289916992,248034000
2015-02-11,27.38202815907323,27.861554133931936,27.32180940949719,27.852632522583008,294247200
2015-02-12,28.115816023320768,28.43252729217205,28.006529254667925,28.20503044128418,297898000
2015-02-13,28.387917665522387,28.387917665522387,28.024370931794863,28.343311309814453,217088800
2015-02-17,28.434754845619533,28.744775313753916,28.307624860083543,28.510587692260742,252609600
2015-02-18,28.465987607522486,28.722478478703042,28.425841195497497,28.709096908569336,179566800
2015-02-19,28.655563159605954,28.778233207175422,28.622109239017583,28.64887237548828,149449600
2015-02-20,28.686784587541602,28.883056640625,28.559656300973938,28.883056640625,195793600
2015-02-23,28.999035235335292,29.663679122924805,28.918742433910285,29.663679122924805,283896400
2015-02-24,29.650299454930902,29.797503500842662,29.255526205711917,29.478561401367188,276912400
2015-02-25,29.34250936350478,29.351432677017822,28.581958540748293,28.724700927734375,298846800
2015-02-26,28.72470263962541,29.188616275789528,28.238487524843507,29.0882511138916,365150000
2015-02-27,28.994582482801793,29.121714208785342,28.60204166820385,28.65110969543457,248059200
2015-03-02,28.82729907324928,29.057025052791815,28.61541631777035,28.79161262512207,192386800
2015-03-03,28.762622527073855,28.887521701665655,28.568579577817705,28.851835250854492,151265200
2015-03-04,28.79384406150389,28.8964383419141,28.619876887550163,28.668941497802734,126665200
2015-03-05,28.677866050476716,28.71578162559271,28.048906862742268,28.193880081176758,226068400
2015-03-06,28.637717980030118,28.854062393731382,28.160424495428032,28.236255645751953,291368400
